job_id,job_title,salary_avg,skill
56,Marketing Data Scientist,74500.0,APIs
57,"Associate Data Scientist, Advanced Analytics",47500.0,TensorFlow
57,"Associate Data Scientist, Advanced Analytics",47500.0,Microsoft Excel
57,"Associate Data Scientist, Advanced Analytics",47500.0,Data mining
57,"Associate Data Scientist, Advanced Analytics",47500.0,Kanban
57,"Associate Data Scientist, Advanced Analytics",47500.0,SQL
58,Data Scientist,27500.0,Machine learning
58,Data Scientist,27500.0,Natural language processing
58,Data Scientist,27500.0,AI
58,Data Scientist,27500.0,Python
59,Data Scientist,68000.0,Azure
59,Data Scientist,68000.0,Google Cloud Platform
59,Data Scientist,68000.0,AWS
59,Data Scientist,68000.0,Machine learning
59,Data Scientist,68000.0,Data management
60,Lead Data Scientist,32000.0,TensorFlow
60,Lead Data Scientist,32000.0,Azure
60,Lead Data Scientist,32000.0,R
60,Lead Data Scientist,32000.0,Google Cloud Platform
60,Lead Data Scientist,32000.0,Statistical analysis
61,Junior Applied Scientist,49500.0,TensorFlow
61,Junior Applied Scientist,49500.0,Application development
61,Junior Applied Scientist,49500.0,Machine learning
61,Junior Applied Scientist,49500.0,APIs
61,Junior Applied Scientist,49500.0,Python
62,Consultant - Data & AI Strategy - Data Strategy,67500.0,TensorFlow
62,Consultant - Data & AI Strategy - Data Strategy,67500.0,Power BI
62,Consultant - Data & AI Strategy - Data Strategy,67500.0,Azure
62,Consultant - Data & AI Strategy - Data Strategy,67500.0,Big data
62,Consultant - Data & AI Strategy - Data Strategy,67500.0,Spark
63,Data Scientist,27500.0,Power BI
63,Data Scientist,27500.0,Data analysis skills
63,Data Scientist,27500.0,Apache Hive
63,Data Scientist,27500.0,Tableau
63,Data Scientist,27500.0,Analysis skills
64,AI Intern,70000.0,TensorFlow
64,AI Intern,70000.0,Azure
64,AI Intern,70000.0,Software deployment
64,AI Intern,70000.0,English
64,AI Intern,70000.0,Google Cloud Platform
65,Contract Data Scientist,56000.0,R
65,Contract Data Scientist,56000.0,Data analysis skills
65,Contract Data Scientist,56000.0,Git
65,Contract Data Scientist,56000.0,SQL
65,Contract Data Scientist,56000.0,Statistical analysis
66,Data Analyst,67000.0,Spark
66,Data Analyst,67000.0,R
66,Data Analyst,67000.0,Data analysis skills
66,Data Analyst,67000.0,NoSQL
66,Data Analyst,67000.0,Git
67,Senior Data Scientist,70500.0,Sage
67,Senior Data Scientist,70500.0,R
67,Senior Data Scientist,70500.0,SQL
67,Senior Data Scientist,70500.0,Analysis skills
67,Senior Data Scientist,70500.0,Project management
68,Data Scientist (London),39500.0,Go
68,Data Scientist (London),39500.0,Spark
68,Data Scientist (London),39500.0,Data analysis skills
68,Data Scientist (London),39500.0,SQL
68,Data Scientist (London),39500.0,Analysis skills
69,Data Scientist,70000.0,Statistical software
69,Data Scientist,70000.0,Big data
69,Data Scientist,70000.0,Data analysis skills
69,Data Scientist,70000.0,Statistical analysis
69,Data Scientist,70000.0,Machine learning
70,Data Scientist,54000.0,Azure
70,Data Scientist,54000.0,Business intelligence
70,Data Scientist,54000.0,C#
70,Data Scientist,54000.0,Spark
70,Data Scientist,54000.0,Data analysis skills
71,"Data Scientist, Go-To-Market (UK)",55000.0,Big data
71,"Data Scientist, Go-To-Market (UK)",55000.0,SQL
71,"Data Scientist, Go-To-Market (UK)",55000.0,Product management
71,"Data Scientist, Go-To-Market (UK)",55000.0,Communication skills
71,"Data Scientist, Go-To-Market (UK)",55000.0,Python
